博主昵称,笔记标题,笔记详情,评论数,点赞数,店铺名称,店铺地址,店铺评分,人均价格
上海工作内推（极速版）,上海日式料理店全职服务员❗包吃住 ❗️,"主要是做日料的🍘
6500/月 主要就是辅助店长工作、点点单收收银，接待一下客人就行了
不仅包吃包住（不住还有房补），还有商业保险，待遇很好了😍
#上海找工作[话题]# #服务员[话题]# #餐饮服务员[话题]# #包吃包住轻松高工资[话题]# #工作轻松简单[话题]##店伙伴招聘[话题]#  #店伙伴[话题]#  #餐饮工作[话题]# #日结[话题]# #兼职[话题]#",76,32,,,,
再睡五分钟,上海求职月薪6000+ 月休六天,"2月一次加薪，太爽啦，包吃包住，宿舍距离门店十分钟，提供被褥，门店氛围环境好，存钱好去处
#餐饮服务员[话题]# #上海找工作[话题]# #工作包吃住[话题]# #月休六天[话题]# #连锁店就近分配[话题]#",27,6,,,,
家有俩喵,上海的餐饮业招人已经这个薪资水平了吗？,"昨天去某商城看电影，路过楼下的吃饭的地方偶然发现这种店门口的招人公告。
	
#上海餐饮业薪资待遇[话题]#",323,821,,,,
Ripe.,,人来到上海都傻了 根本找不到工作#餐饮服务员[话题]#,156,20,,,,
毛毛和蛋蛋,店长让我继续帮他招人！,"急招餐饮服务员、服务员副经理、传菜员和迎宾，包吃包住
位置在上海，连锁门店，静安区，浦东和闵行都招人，可以就近安排
薪资：
服务员和迎宾：底薪5800-6200面试定薪
5500-6000面试定
副经理：底薪6500-7200面试定薪
法定调休+奖金等
要求：女生优先，有过服务员经验即可，副经理岗位需要有领班或者管理经验，具体面谈
上班时间：10-22，中间休息3小时，月休4天，可以自由调休，老板人很好，店里工作氛围很欢乐
#工作氛围好[话题]# #推荐好的工作[话题]# #工作轻松简单[话题]# #我们需要你[话题]# #服务员[话题]# #包吃包住[话题]# #团队氛围好[话题]# #有经验者优先[话题]# #高薪工作[话题]# #餐饮[话题]#",43,28,,,,
小猪有点辣,带仇人去吃胡麻吧,"周五中午一个人去的静安嘉里的胡麻
一直看很多人推荐
由于饭量不大
就点了最火最推荐的牛脸颊肉拌饭
65💰
总结：自己做个牛肉拌饭也行
没有那么惊艳
甚至感觉很一般
仅对这一道点评
其余没吃到
#漂亮饭[话题]# #餐厅推荐[话题]# #上海[话题]# #胡麻[话题]# #美食[话题]##上海美食[话题]#",181,518,,,,
一一,本地人总结上海开了10年以上的美食推荐！,"国庆来上海玩的宝子们看过来！本地吃货压箱底的 9家开了10年以上的平价天花板美食吐血整理！主打一个好吃不贵、地道实惠！收藏好冲就完事！
1️⃣【大壶春生煎】
💰人均：20+
👍 推荐理由：全发酵面皮，皮厚酥脆，肉馅扎实！经典鲜肉生煎+咖喱牛肉汤YYDS！老上海人从小吃到大
📍云南南路/四川中路等多家分店。
2️⃣ 【归蜀第成都串串】
💰人均：60+ （串串1-5元，2人吃撑百元内！）
👍推荐理由：
✅ 锅底香到报警！麻麻辣辣，一秒穿越成都街头
✅ 冰粉纯手搓，嫩滑口感别家吃不到，手工打的糍粑冰粉一定要点！
📍 分店指南：
世纪公园店（梅花路）总店，分店都在浦东。
3️⃣【鲜得来排骨年糕】
💰人均：30+
👍 推荐理由：炸猪排外酥里嫩，裹上灵魂甜面酱！搭配软糯年糕，get宝总同款～
📍云南南路店最经典。
4️⃣ 【莱莱小笼】
💰人均：60+ （蟹粉小笼这个价真香！）
👍推荐理由：南京东路旁的神仙小店！现点现蒸，纯蟹粉小笼🦀️鲜掉眉毛！甩景区蟹粉店几条街！
📍天津路。
5️⃣ 【顶特勒粥面馆】
💰人均：50+
👍 推荐理由：藏在淮海路弄堂的米其林推荐！黄鱼煨面汤头奶白鲜美，黄鱼嫩滑无刺～深夜食堂首选
📍淮海中路。
6️⃣【长发餐饮】
💰人均：10元/串 （只卖三样，样样顶）
👍推荐理由：上海阿姨爷叔排队王，里脊肉串比脸大！刷上秘制酱料，香迷糊了！10块钱的快乐谁懂啊！
📍延安西路。
7️⃣【为民点心店】
💰人均：30+
👍推荐理由：居民楼下的传奇小店！只卖锅贴和汤！锅贴焦脆金黄，蘸点醋绝了！烟火气十足，体验真·市井美味！
📍惠民路（注意营业时间）。
8️⃣ 【红宝石】
💰人均：17元/块（奶油小方YYDS！）
👍推荐理由：上海老牌奶油蛋糕天花板！鲜奶小方一生推，秒杀网红甜品店！
📍 分店超多（吴江路、汉口路等）
9️⃣【沪西老弄堂面馆】
💰人均：40+
👍推荐理由：本帮浇头面代表！浓油赤酱超挂面！蛤蜊猪肝面必点封神！猪肝嫩滑，蛤蜊提鲜。
📍定西路/广东路等。
国庆来上海，跟着这篇吃！不踩雷，不花冤枉钱～
#上海美食[话题]# #上海旅游[话题]# #上海平价美食[话题]# #学生党美食[话题]# #国庆去哪玩[话题]# #魔都探店[话题]# #上海必吃[话题]# #小红书爆款美食[话题]# #美食攻略[话题]# #穷游上海[话题]#",121,1万,,,,
可可西里,上海核心地段招聘服务员 无责6500左右,"包吃包住：
住的是核心地段公寓房
包的是你一日三餐漂亮饭
过年留守奖励红包1000-2000
上海十几家分店为你提供福利待遇保障
从服务员到主管到经理到店长 只要你想干 年薪几十万#上海服务员招聘[话题]# #上海服务员包吃住[话题]# #上海高端餐厅[话题]# #上海招聘[话题]# #上海服务员[话题]#",140,61,,,,
上海企业直招寒假工、服务员,上海连锁餐饮直招服务生最低5300/月,"上海连锁餐饮
新店开业要寒假工
前厅:10人+5500/月
迎宾:2人＋5700/月
后厨:3人＋5300/月#上海一切皆有可能[话题]# #工作包吃住[话题]# #服务员[话题]# #餐饮服务员[话题]# #餐饮服务业[话题]# #我的兼职日常[话题]# #包吃包住轻松高工资[话题]# #餐饮管理[话题]# #管吃住好工作[话题]# #餐饮未来趋势[话题]#",11,4,,,,
Pluto,店长真的急疯了，天天催我招人,"咱是人均500+的中餐厅，环境干净不杂乱
服务生、传菜员
5500-6000店长面试看经验定薪
	
每天店里管两顿正餐，荤素都有的～
而且入职就安排宿舍，不用自己找房
没有健康证的小伙伴也没关系
我们可以先入职，后期免费办理哦
	
黄浦、静安、长宁、普陀都有店，诚心要人，不是中介，有意直接滴滴，随时安排面试～
	
#上海[话题]##上海打工[话题]# #上海找工作[话题]##上海求职[话题]##上海服务生[话题]##上海招聘[话题]##上海包吃包住[话题]##上海餐厅工作[话题]##上海餐饮招人[话题]##上海急聘餐饮[话题]#",20,1,,,,
